lon lat alt Estacao
-47.87786898 -15.94747534 1106.020 BRAZ
-38.42554059 -3.87754882 21.749 CEEU
-47.89918047 -22.00494888 824.587 EESC
-54.58829302 -25.42067845 183.616 ITAI
-55.67116465 -20.45294334 188.113 MSAQ
-56.53094235 -22.10688814 207.757 MSBL
-56.15897990 -21.49844684 289.777 MSJR
-54.28658451 -23.92354259 325.505 MSMN
-54.19206710 -23.02204089 381.675 MSNV
-57.88402171 -21.69769151 97.337 MSPM
-55.60885377 -22.62162462 648.193 MSPP
-57.69083930 -16.13046811 147.301 MTCA
-56.17433171 -16.68752906 132.191 MTSC
-51.93842421 -23.40968829 543.365 PRMA
-53.32066073 -23.80608449 475.302 PRUR
-35.20770793 -5.83614061 45.965 RNNA
-55.76883972 -29.78944546 117.207 RSAL
-37.10427789 -10.92963280 1.639 SEAJ
-49.35995068 -20.78551898 535.908 SJRP
-53.71659314 -29.71892388 113.107 SMAR
-47.38664180 -20.51057351 1030.987 SPFR
-48.33067909 -10.17105354 256.554 TOPL
