N¶ø;Codigo Nacional;Codigo OACI;Nombre;Latitud;Longitud;Altitud (Mts);Altura Minima (Mts);Propietario;Fecha Creacion;Tipo;Clasificacion;Zona Geografica;Region;Emite METAR;Emite SYNOP;Paisaje;Operador
0;180005;SCAR;Chacalluta, Arica Ap.;-18.35555;-70.34028;50;3,300;DMC;01/01/56;Mixta;Sinoptica Aeronautica;Litoral;Arica y Parinacota;Si;Si;Desertico, pista de aterrizaje al este a 70 mtrs aprox.;Aldo Espindola ( Anexo-1109)
1;200006;SCDA;Diego Aracena Iquique Ap.;-20.54917;-70.18111;48;2,400;DMC;31/03/81;Mixta;Sinoptica Aeronautica;Litoral;Tarapaca;Si;Si;Zona desertica, cerros costeros 600 mtrs hacia el oeste;Eduardo Valenzuela (Anexo 1210)
2;220002;SCCF;El Loa, Calama Ad.;-22.49806;-68.8925;2,321;4,880;DMC;01/11/12;Mixta;Sinoptica Aeronautica;PreCordillera;Antofagasta;Si;Si;Planicie desertica, cerro al S a 6 Km, Cerro al N a 20 Km.;Ariel Bustamante (Anexo 1628)
3;230001;SCFA;Cerro Moreno Antofagasta Ap.;-23.45361;-70.44528;112;2,190;DMC;01/06/44;Mixta;Sinoptica Aeronautica;Litoral;Antofagasta;Si;Si;Zona Desertica.;Sr. Fernando Pino Nieto ( Anexo1526 )
4;270001;SCIP;Mataveri Isla de Pascua Ap.;-27.15889;-109.4325;44;1,500;DMC;01/07/37;Mixta;Sinoptica Aeronautica;Litoral;Valparaiso;Si;Si;Ubicada en planicie, aproximadamente a 1 Km de volcan Rano Kao, rodeada de volcanes ;Maria Teresa Zamora Nahoe (Anexo 2074)
5;270008;SCAT;Desierto de Atacama, Caldera Ad.;-27.25444;-70.78111;197;2,100;DMC;01/01/05;Mixta;Sinoptica Aeronautica;Secano Costero;Atacama;Si;No;Desertico, ubicada a 8 Km de Caldera y 70 Km de la ciudad de Copiapo ;Ivan Molina Encalada (Anexo 2887-1840-1841)
6;290004;SCSE;La Florida, La Serena Ad.;-29.91444;-71.20667;137;2,880;DMC;01/01/54;Mixta;Sinoptica Aeronautica;Secano Costero;Coquimbo;Si;Si;Planicie ;David Rebolledo Pena (Anexos 1709 - 1762) 
7;320041;SCVM;Vina del Mar Ad. (Torquemada);-32.94944;-71.47611;141;2,880;DMC;01/12/88;Mixta;Aeronautica;Litoral;Valparaiso;Si;No;Sector irregular con pequenos cerros, costa 6 km al oeste.;Funcionario D.G.A.C.
8;330007;SCRD;Rodelillo, Ad.;-33.06528;-71.55639;330;2,200;DMC;01/07/65;Mixta;Aeronautica;Litoral;Valparaiso;Si;No;Ubicada en cerro 330 mtrs. de altura.;Sergio Cortez Cesped
9;330019;SCTB;Eulogio Sanchez, Tobalaba Ad.;-33.45528;-70.54861;650;6,000;DMC;11/10/54;Mixta;Aeronautica;PreCordillera;Metropolitana de Santiago;Si;No;Ubicada entre cerros, Cerro San Ramon a 2.6 Km al Este;Juan Oyarce Villagra
